"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta";"aktsiate_arv"
"CFN";"Carefusion";"Health Care";59.47;-0.13;1905310;1.976;0;203900000
"CHK";"Chesapeake Energy";"Energy";20.52;-2.33;18481820;0.81;0.3462;652900000
"CHRW";"C. H. Robinson Worldwide";"Industrials";70.5;-6.29;10238706;2.893;1.43;146300000
"CI";"CIGNA Corp.";"Health Care";110.1;1.29;1768512;7.322;0.04;261600000
"CINF";"Cincinnati Financial";"Financials";52.47;0.71;716496;2.9;1.76;163500000
"CL";"Colgate-Palmolive";"Consumer Staples";69.2;0.01;3075317;2.36;1.44;911300000
"CLX";"The Clorox Company";"Consumer Staples";109.61;1.78;2328829;3.884;2.93;129400000
"CMA";"Comerica Inc.";"Financials";43.53;-0.91;1924079;3.16;0.79;1.79e+08
"CMCSA";"Comcast Corp.";"Consumer Discretionary";56.9;2.69;40057864;3.18;0.9;2576400000
"CME";"CME Group Inc.";"Financials";89.25;2.27;2255255;3.011;3.88;336800000
"CMG";"Chipotle Mexican Grill";"Consumer Discretionary";676;-6.97;2474736;12.832;0;3.1e+07
"CMI";"Cummins Inc.";"Industrials";144.16;-0.95;1990178;8.894;2.81;181600000
"CMS";"CMS Energy";"Utilities";36.94;-1.62;3529160;1.74;0.81;2.74e+08
"CNP";"CenterPoint Energy";"Utilities";22.8;-0.18;4895030;1.27;0.952;429800000
"CNX";"CONSOL Energy Inc.";"Energy";31.23;-3.19;5377983;0.7;0.252;230300000
"COF";"Capital One Financial";"Financials";75.3;-0.28;3317898;7.589;1.2;554300000
"COG";"Cabot Oil & Gas";"Energy";26.63;-3.2;10036011;0.96;0.08;4.13e+08
"COH";"Coach Inc.";"Consumer Discretionary";39.11;1.09;5077395;2.052;1.352;275600000
"COL";"Rockwell Collins";"Industrials";87.29;0.3;928763;4.704;1.2;132300000
"COP";"ConocoPhillips";"Energy";65.87;-2.76;12243308;5.508;2.84;1230900000
"COST";"Costco Co.";"Consumer Staples";155.92;1.41;11006320;4.81;1.375;440500000
"CPB";"Campbell Soup";"Consumer Staples";47.43;1.45;2510477;2.785;1.248;313300000
"CRM";"Salesforce.com";"Information Technology";58.99;0.65;3013135;-0.516;0;6.31e+08
"CSC";"Computer Sciences Corp.";"Information Technology";62.63;0.93;1917545;3.8;0.89;140500000
"CSCO";"Cisco Systems";"Information Technology";26.69;-1.59;27696252;1.47;0.76;5114300000
"CSX";"CSX Corp.";"Industrials";34.57;-0.26;5683286;1.92;0.63;9.95e+08
"CTAS";"Cintas Corporation";"Industrials";80.01;-0.84;760055;3.658;1.7;117300000
"CTL";"CenturyLink Inc";"Telecommunications Services";39.41;-0.45;3856682;1.429;2.16;570700000
"CTSH";"Cognizant Technology Solutions";"Information Technology";57.88;5.05;11625784;2.295;0;608900000
"CTXS";"Citrix Systems";"Information Technology";61.18;-0.87;1255693;1.469;0;163200000
"CVC";"Cablevision Systems Corp.";"Consumer Discretionary";19.85;1.28;5939386;1.149;0.6;273700000
"CVS";"CVS Caremark Corp.";"Consumer Staples";100.46;0.33;5714047;3.874;1.175;1152700000
"CVX";"Chevron Corp.";"Energy";108.35;-1.08;10176015;10.14;4.21;1890200000
"D";"Dominion Resources";"Utilities";77.63;-1.21;2138263;2.57;2.4;583900000
"DAL";"Delta Air Lines";"Industrials";46.96;2.06;12204291;0.78;0.3;8.25e+08
"DD";"Du Pont (E.I.)";"Materials";73.74;0.56;4947235;3.916;1.84;9.05e+08
"DE";"Deere & Co.";"Industrials";88.68;0.06;3042908;8.63;2.31;344300000
"DFS";"Discover Financial Services";"Financials";56.76;0.69;6332561;4.9;0.96;4.49e+08
"DG";"Dollar General";"Consumer Discretionary";68.81;0.44;3905375;3.342;0;303400000
"DGX";"Quest Diagnostics";"Health Care";71.6;-1.32;2029014;3.814;1.32;1.44e+08
"DHI";"D. R. Horton";"Consumer Discretionary";25.91;1.98;9857126;1.533;0.164;365400000
"DHR";"Danaher Corp.";"Industrials";84.34;-0.8;2864845;3.63;0.4;704300000
"DIS";"The Walt Disney Company";"Consumer Discretionary";101.28;7.63;32640456;4.26;1.15;1695300000
"DISCA";"Discovery Communications-A";"Consumer Discretionary";30.1;1.79;4554247;1.686;0;6.82e+08
"DISCK";"Discovery Communications-C";"Consumer Discretionary";28.945;2.01;2656313;1.686;0;6.82e+08
"DLPH";"Delphi Automotive";"Consumer Discretionary";72.75;0.01;2531938;4.288;0.75;296100000
"DLTR";"Dollar Tree";"Consumer Discretionary";75;0.82;5403331;2.913;0;205700000
